"time","F14C"
2019.25,1.0000414913266
2019.5,1.00315636878268
2019.75,1.00312940986356
2020,1.00154591334161
2020.25,0.998626246954327
2020.5,1.00176983558186
2020.75,1.00177100536846
2021,1.00021506690301
2021.25,0.997322399499806
2021.5,1.00049243938096
2021.75,1.00051952380256
2022,0.99898897423991
2022.25,0.996121180672891
2022.5,0.999315589772795
2022.75,0.999366549032932
2023,0.997859389958138
2023.25,0.995014512354344
2023.5,0.998231372519564
2023.75,0.998304327378528
2024,0.996818717676155
2024.25,0.993994952271007
2024.5,0.997232496330074
2024.75,0.99732571546714
2025,0.9958599589399
2025.25,0.993055643946993
2025.5,0.996312243826292
2025.75,0.996424132196699
2026,0.994976666158626
2026.25,0.992190270594326
2026.5,0.995464426369406
2026.75,0.995593514477785
2027,0.994162899245277
2027.25,0.991393012632952
2027.5,0.994683342441629
2027.75,0.99482827645974
2028,0.993413185669776
2028.25,0.990658508554434
2028.5,0.993963739303858
2028.75,0.994123271966186
2029,0.992722483656619
